Full Response,Time Started(PT),Progress,Bullet Summary,Tagline,Quality score,Which of the following best describes your household?,Which of these activities has your child participated in during the past 12 months?,Which of the following challenges has your child experienced? Select all that apply.,Tell me about the last time your child attended a therapy or counseling session. What was it like?,What made you decide to seek therapy or support for your child in the first place?,What has been the most frustrating part of finding and maintaining the right therapy for your child?,"If your child has been in group therapy, think back to a specific session. How engaged was your child? What did they tell you about it afterwards?",What would an ideal group therapy session look like for your child?,How important are each of the following in a group therapy program for your child?,What's your initial reaction to that idea?,How comfortable would you be with your child participating in a session like this?,What would need to be true for you to feel fully comfortable with this kind of program?,"What concerns, if any, do you have about AI being involved in your child's therapy?",How would you feel about your child attending group therapy via video call rather than in person?,"If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?",What would make you choose this over your child's current therapy arrangement?,Tags,Other Remarks,Country,Gender,Ethnicity,Age,Year of birth of youngest child,short transcript
#25,"6/2, 10:39 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,39,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#26,"6/2, 10:39 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Prefer not to say,42,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#27,"6/2, 10:38 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,74,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#28,"6/2, 10:39 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,50,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#29,"6/2, 10:39 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,57,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#30,"6/2, 10:39 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,35,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#31,"6/2, 10:40 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child did not participate in the listed activities in the past 12 months.",Parent of kids aged 6–12,2,I have children between 6 and 12 years old,None of the above,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,37,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → None of the above
• Thank you for your time, you did not meet the research criteria for this study! → "
#32,"6/2, 10:40 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,28,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#33,"6/2, 10:41 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,Other,24,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#34,"6/2, 10:41 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,Mixed,42,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#35,"6/2, 10:41 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,44,,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#36,"6/2, 10:41 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,19,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#37,"6/2, 10:41 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Woman,White,36,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#38,"6/2, 10:42 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,45,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#39,"6/2, 10:42 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,43,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#40,"6/2, 10:42 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Woman,Asian,33,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#41,"6/2, 10:42 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,Asian,33,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#42,"6/2, 10:42 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,57,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#43,"6/2, 10:42 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,29,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#44,"6/2, 10:43 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child joined religious or community programs in the past year.
- My child took art or music classes in the past year.",Parent of school-age kids,2,I have children between 6 and 12 years old,"Sports or physical activities, Religious or community programs, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,35,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Religious or community programs, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#45,"6/2, 10:43 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Asian,42,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#46,"6/2, 10:38 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,40,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#47,"6/2, 10:43 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,27,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#48,"6/2, 10:43 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,39,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#49,"6/2, 10:43 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Mixed,20,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#50,"6/2, 10:43 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,51,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#51,"6/2, 10:44 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Other,37,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#52,"6/2, 10:44 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,63,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#53,"6/2, 10:44 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,57,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#54,"6/2, 10:41 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,,,,,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#55,"6/2, 10:44 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,64,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#56,"6/2, 10:45 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Man,Mixed,56,,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#57,"6/2, 10:45 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child took art or music classes in the past year.",Parent of school-age children,2,I have children between 6 and 12 years old,"Sports or physical activities, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,47,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#58,"6/2, 10:45 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,30,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#59,"6/2, 10:45 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,30,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#60,"6/2, 10:46 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,43,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#61,"6/2, 10:46 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,63,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#62,"6/2, 10:46 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Asian,29,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#63,"6/2, 10:46 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Man,White,38,,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#64,"6/2, 10:46 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Asian,39,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#65,"6/2, 10:47 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in art or music classes in the past year.
- My child took part in religious or community programs in the past year.
- My child received tutoring or academic support in the past year.",Engaged Parent of School-Age Kids,2,I have children between 6 and 12 years old,"Art or music classes, Religious or community programs, Tutoring or academic support",,,,,,,,,,,,,,,"Parent, Children 6–12",,United States,Man,Black,38,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes, Religious or community programs, Tutoring or academic support
• Thank you for your time, you did not meet the research criteria for this study! → "
#66,"6/2, 10:47 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,28,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#67,"6/2, 10:47 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,27,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#68,"6/2, 10:47 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,33,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#69,"6/2, 10:46 AM",Screened Out,"- I have children aged 6–12.
- My child participated in sports or physical activities in the past year.
- My child received school-based counseling in the past 12 months.",Parent of school-aged child in counseling,2,I have children between 6 and 12 years old,"Sports or physical activities, Therapy or counseling",,,,,,,,,,,,,,,"Parent, Children 6–12",,United States,Woman,Black,32,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Therapy or counseling
• What type of therapy or counseling has your child been involved in? → School-based counseling
• Thank you for your time, you did not meet the research criteria for this study! → "
#70,"6/2, 10:47 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,35,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#71,"6/2, 10:48 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,,28,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#72,"6/2, 10:48 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,47,,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#73,"6/2, 10:48 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,24,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#74,"6/2, 10:48 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,41,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#75,"6/2, 10:48 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,Other,26,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#76,"6/2, 10:49 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,67,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#77,"6/2, 10:49 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,32,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#78,"6/2, 10:49 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Asian,31,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#79,"6/2, 10:49 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,59,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#80,"6/2, 10:50 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,23,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#81,"6/2, 10:49 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,28,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#82,"6/2, 10:50 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Rather not say,Asian,37,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#83,"6/2, 10:50 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,33,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#84,"6/2, 10:45 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,37,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#85,"6/2, 10:50 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Man,Mixed,42,,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#86,"6/2, 10:50 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,44,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#87,"6/2, 10:51 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Asian,32,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#88,"6/2, 10:51 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,26,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#89,"6/2, 10:51 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Black,32,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#90,"6/2, 10:51 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Woman,White,36,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#91,"6/2, 10:51 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,30,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#92,"6/2, 10:52 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Woman,White,24,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#93,"6/2, 10:52 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Asian,31,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#94,"6/2, 10:52 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,Asian,38,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
